id,module_id,question,question_type,correct_answer,explanation,sort_order,is_active,created_at
38,4,When is it appropriate to fight a fire with an extinguisher?,multiple_choice,Only small incipient fires if you are trained and it is safe to do so,Never attempt to fight large or spreading fires - only small beginning fires if trained and safe,7,t,2025-10-01 20:52:46.603572
39,4,What is a key housekeeping practice to prevent fires?,multiple_choice,"Keep exits, walkways, and fire extinguishers clear at all times",Clear access to exits and fire safety equipment is critical for fire prevention and emergency response,8,t,2025-10-01 20:52:46.603572
40,4,Carbon fiber and fiberglass dust are:,multiple_choice,Highly combustible and must be regularly cleaned with explosion-proof vacuums,These dusts are highly combustible and require regular cleaning with proper equipment,9,t,2025-10-01 20:52:46.603572
41,4,When should you re-enter the building after a fire evacuation?,multiple_choice,Only after cleared by Fire Department or Safety Officer,Never re-enter until officially cleared by Fire Department or designated Safety Officer,10,t,2025-10-01 20:52:46.603572
16,2,What should you do FIRST before starting a job according to the FOD procedure?,multiple_choice,Check for any special cleanliness requirements,,5,t,2025-10-01 20:05:13.414054
44,5,"Who is considered a ""U.S. Person"" under ITAR?",multiple_choice,"U.S. citizens, permanent residents, asylees, and refugees",Only U.S. persons may access ITAR-controlled data without special authorization,3,t,2025-10-01 21:01:16.543553
45,5,How must ITAR-controlled documents be marked?,multiple_choice,ITAR Controlled – Export Controlled,All ITAR-controlled documents must be clearly labeled with this marking,4,t,2025-10-01 21:01:16.543553
46,5,What is the maximum civil penalty per ITAR violation?,multiple_choice,"$1,272,251 per violation","Civil penalties can reach over $1.2 million per violation, with criminal penalties up to $1 million and 20 years imprisonment",5,t,2025-10-01 21:01:16.543553
47,5,Where should ITAR-controlled documents be stored?,multiple_choice,In locked cabinets or restricted-access digital systems,Physical documents must be secured in locked rooms/cabinets; electronic data on secure servers in the U.S.,6,t,2025-10-01 21:01:16.543553
48,5,What should you do if you see a foreign national working on ITAR projects without clearance?,multiple_choice,Immediately report it to the Business Manager or VP of Operations,This is a red flag that must be reported immediately to prevent violations,7,t,2025-10-01 21:01:16.543553
49,5,Who is authorized to sign and submit ITAR-related documents to the Department of State?,multiple_choice,VP of Operations and Business Manager,Only these authorized leaders can submit ITAR documents to the U.S. Department of State,8,t,2025-10-01 21:01:16.543553
50,5,How long must ITAR training records be maintained?,multiple_choice,5 years,"Export records, licenses, agreements, and training logs must be maintained for 5 years",9,t,2025-10-01 21:01:16.543553
51,5,What is technical data under ITAR?,multiple_choice,"Blueprints, drawings, process specifications, test data, and software related to defense articles","Technical data includes all documentation, specifications, and information related to defense articles",10,t,2025-10-01 21:01:16.543553
52,6,What is AS9100?,multiple_choice,"A quality management system for companies that design, develop, or provide products for aviation, space, and defense industries",AS9100 is the quality standard specifically for aerospace and defense manufacturing,1,t,2025-10-01 21:09:07.028756
53,6,What is AG Composites quality policy?,multiple_choice,Continuously improve while producing quality products in a timely manner to meet customer requirements,This policy is posted on bulletin boards and information slide shows throughout the facility,2,t,2025-10-01 21:09:07.028756
54,6,What is the goal for the Return Rate objective (Objective 1)?,multiple_choice,3% or less based on manufacturer defect or error,"This KPI measures returns for both OEM and retail products, measured monthly",3,t,2025-10-01 21:09:07.028756
55,6,What is the Production Scrap rate goal (Objective 2)?,multiple_choice,1% or less for nonconforming items,This objective tracks the rate of nonconforming items to minimize waste,4,t,2025-10-01 21:09:07.028756
56,6,What is the retail shipping rate goal (Objective 3)?,multiple_choice,90% on-time shipping,This KPI measures on-time delivery performance for retail customers,5,t,2025-10-01 21:09:07.028756
57,6,Quality is whose responsibility?,multiple_choice,Everybody - all employees,Every employee contributes to quality by following processes and reporting issues,6,t,2025-10-01 21:09:07.028756
58,6,What should you do if you identify materials that are expired?,multiple_choice,Notify a manager immediately,Using expired materials creates nonconforming or unsafe products,7,t,2025-10-01 21:09:07.028756
59,6,What does FOD stand for?,multiple_choice,Foreign Object Debris,FOD is any substance that could contaminate or damage the product,8,t,2025-10-01 21:09:07.028756
60,6,"If you identify a process being done incorrectly, what should you do?",multiple_choice,Notify a manager immediately,Following correct processes is critical to maintaining quality standards,9,t,2025-10-01 21:09:07.028756
61,6,What are Quality Objectives also called?,multiple_choice,Key Performance Indicators (KPIs),KPIs are measurable goals that evaluate company performance,10,t,2025-10-01 21:09:07.028756
62,7,What is the BEST way to avoid receiving counterfeit parts?,multiple_choice,Procure directly from Original Component or Equipment Manufacturers (OCM/OEM),Procuring directly from OCM/OEM is the lowest risk method to avoid counterfeit parts,1,t,2025-10-01 21:19:05.705936
63,7,Which of the following is a potential impact of counterfeit parts?,multiple_choice,"All of these: personal injury, mission failure, reduced reliability, and loss of contracts","Counterfeit parts can cause all these serious consequences including safety, operational, and business impacts",2,t,2025-10-01 21:19:05.705936
64,7,Does AG require their suppliers to have a counterfeit prevention program?,multiple_choice,"Yes, suppliers must ensure prevention through processes or a formal program",AG requires suppliers to have processes/programs against receipt and use of counterfeit materials,3,t,2025-10-01 21:19:05.705936
65,7,Which of the following is a RED FLAG for potential counterfeit parts?,multiple_choice,No certificate of conformance,Missing certificate of conformance is a major red flag indicating potential counterfeit parts,4,t,2025-10-01 21:19:05.705936
66,7,What is the FIRST thing you should do if you suspect a part is counterfeit?,multiple_choice,Isolate and quarantine the suspect parts immediately,The first step in mitigation is to quarantine suspect parts to prevent them from entering production,5,t,2025-10-01 21:19:05.705936
67,7,Should you return suspected counterfeit items to the supplier?,multiple_choice,"No, do not return them as they could re-enter the supply chain",Returning counterfeit items allows the supplier to potentially sell them to another victim,6,t,2025-10-01 21:19:05.705936
68,7,What AS9100 section covers counterfeit prevention?,multiple_choice,Section 8.1.4,AS9100(D) Section 8.1.4 addresses counterfeit prevention requirements,7,t,2025-10-01 21:19:05.705936
69,7,"After isolating suspect counterfeit parts, what should you do next?",multiple_choice,"Document thoroughly with photos, part numbers, and supplier information",Documentation is critical for investigation and potential legal action,8,t,2025-10-01 21:19:05.705936
70,7,What type of distributor has the next lowest risk after OCM/OEM?,multiple_choice,OCM Authorized Distributors,Authorized distributors with documented sales agreements are next lowest risk,9,t,2025-10-01 21:19:05.705936
71,7,Who must you notify immediately if you suspect counterfeit items at AG?,multiple_choice,The Quality Manager,The Quality Manager must be notified immediately of any suspected counterfeit items,10,t,2025-10-01 21:19:05.705936
85,8,What is the FIRST step when handling non-conforming material?,multiple_choice,Immediate identification and tagging of defective parts,The first step is to immediately identify and tag non-conforming parts to prevent their use,4,t,2025-10-01 21:21:41.190648
86,8,What must be done with non-conforming material after identification?,multiple_choice,Quarantine to prevent accidental use,Non-conforming material must be quarantined to ensure it is not accidentally used in production,5,t,2025-10-01 21:21:41.190648
87,8,What is a counterfeit part?,multiple_choice,"Any unauthorized copy, imitation, or substitute misrepresented in origin or certification","Counterfeit parts are unauthorized copies or substitutes that misrepresent their origin, composition, or certification",6,t,2025-10-01 21:21:41.190648
88,8,Which is an employee responsibility for ethical behavior?,multiple_choice,Report issues or concerns immediately,Employees are responsible for immediately reporting any issues or concerns to maintain ethical standards,7,t,2025-10-01 21:21:41.190648
89,8,What is the purpose of a whistleblower policy?,multiple_choice,Protect individuals who report issues in good faith and encourage early problem identification,Whistleblower policies protect those who report problems and encourage early detection of issues,8,t,2025-10-01 21:21:41.190648
90,8,What type of activity is reportable under a whistleblower policy?,multiple_choice,"All of these: falsification of records, safety hazards, theft/fraud, and retaliation","All these activities are reportable - falsification, safety issues, fraud, and retaliation against reporters",9,t,2025-10-01 21:21:41.190648
91,8,What protection do whistleblowers have?,multiple_choice,"No retaliation policy, confidential handling, and legal protections","Whistleblowers are protected through no-retaliation policies, confidentiality, and federal/state legal protections",10,t,2025-10-01 21:21:41.190648
92,9,What are the three categories of nonconforming items?,multiple_choice,"Scrap, Returns, and Counterfeit","The three categories defined in the Process Manual are Scrap, Returns, and Counterfeit",1,t,2025-10-01 21:25:34.996777
93,9,What is the ONLY disposition for scrap items?,multiple_choice,Scrap items must be rendered unusable and disposed of,Scrap items cannot be repaired or used - they must be destroyed and disposed of,2,t,2025-10-01 21:25:34.996777
94,9,What should you do if you suspect an item is counterfeit?,multiple_choice,Immediately isolate the item in the business office,Suspected counterfeit items must be immediately isolated in the business office for investigation,3,t,2025-10-01 21:25:34.996777
95,9,Who can authorize the disposition of a return?,multiple_choice,"Business Manager, Production Manager, or Upper Management",Only these three levels of management can authorize return dispositions,4,t,2025-10-01 21:25:34.996777
96,9,At what stage of production do non-conformances occur?,multiple_choice,"At any stage: design, pre-production, production, post-production, packaging, storage, shipping, and delivery",Non-conformances can occur at any stage throughout the entire production and delivery process,5,t,2025-10-01 21:25:34.996777
97,9,Where are scrap items collected?,multiple_choice,In red barrels at the line manager's work area,Scrap items are collected in red barrels specifically located at the line manager's work area,6,t,2025-10-01 21:25:34.996777
98,9,Who logs returns into the Nonconforming Items spreadsheet?,multiple_choice,The sales team,Returns are logged by the sales team who red tag them,7,t,2025-10-01 21:25:34.996777
99,9,"What does ""Use As-Is"" disposition mean for returns?",multiple_choice,Items that do not meet initial requirements but the variation is approved by the customer,Use As-Is means the customer has approved the variation from their initial requirements,8,t,2025-10-01 21:25:34.996777
100,9,Who investigates potential counterfeit items?,multiple_choice,Trained personnel assigned by management,Trained personnel are specifically assigned to investigate suspected counterfeit items,9,t,2025-10-01 21:25:34.996777
101,9,What causes scrap items to be created?,multiple_choice,"Neglect, environmental changes, or supply changes",Scrap items are normally created from these three factors according to the Process Manual,10,t,2025-10-01 21:25:34.996777
102,10,"In the CNC department, what should be done with tools before shutting down?",multiple_choice,Remove all tools from the machine spindles,All tools must be removed from machine spindles before shutting down the CNC department,1,t,2025-10-01 21:29:37.611669
103,10,What position should CNC machines be turned to before shutting off?,multiple_choice,OFF home position,CNC machines must be turned to the OFF home position before turning them off,2,t,2025-10-01 21:29:37.611669
104,10,"In the Gunsmith department, where should all tools and drills be placed?",multiple_choice,In the correct toolbox,All tools and drills must be placed in the correct toolbox for proper organization,3,t,2025-10-01 21:29:37.611669
105,10,What must be verified about oven timers in Plugging & Layup?,multiple_choice,Ensure the oven timers are set to turn OFF,Oven timers must be verified and set to turn off for safety,4,t,2025-10-01 21:29:37.611669
106,10,What is the first task in the Paint department shutdown?,multiple_choice,Clean and break down paint guns,Paint guns must be cleaned and broken down before other shutdown tasks,5,t,2025-10-01 21:29:37.611669
107,10,What should be done with bathroom lights during general shutdown?,multiple_choice,Turn OFF bathroom lights,Bathroom lights should be turned off as part of general shutdown procedures,6,t,2025-10-01 21:29:37.611669
108,10,What lights should remain ON in the front office?,multiple_choice,Hall and porch lights,Hall and porch lights must remain on for security,7,t,2025-10-01 21:29:37.611669
109,10,How many pedestrian exit doors must be closed and locked in CNC?,multiple_choice,3 pedestrian exit doors,There are 3 pedestrian exit doors in the CNC area that must be secured,8,t,2025-10-01 21:29:37.611669
110,10,What must be done if you are the last person to leave the front office?,multiple_choice,Set the alarm and lock the front door,The last person must set the alarm and lock the front door for security,9,t,2025-10-01 21:29:37.611669
111,10,What should be verified about the security gate when leaving?,multiple_choice,Ensure the security gate closes,The security gate must be verified to close properly when leaving the facility,10,t,2025-10-01 21:29:37.611669
83,8,Which of the following is an example of falsification of records?,multiple_choice,Signing off on inspection reports without performing the required checks,This is falsification - creating fraudulent documentation by claiming inspections were completed when they were not,2,t,2025-10-01 21:21:41.190648
27,3,"For Paint department chemical disposal (Paint/276, Activator/MEKP, Paint Thinner, Catalyst), what are the two required steps?",multiple_choice,"Fill out chemical disposal form and give to Production Manager, then place container in disposal area",All paint chemicals require completing a disposal form and placing the container in the designated disposal area,6,t,2025-10-01 20:51:55.013082
43,5,"Which of the following is considered an ""export"" under ITAR?",multiple_choice,"All of the above: Shipping items overseas, sharing technical data with a foreign person in the U.S., providing defense services to a foreign person","ITAR export includes physical shipment, data sharing with foreign persons anywhere, and providing defense services",2,t,2025-10-01 21:01:16.543553
84,8,What was a major consequence of the Spirit AeroSystems falsification incident?,multiple_choice,Boeing had to halt production temporarily and perform extensive inspections,The falsification required Boeing to stop production and conduct thorough inspections and rework on affected aircraft,3,t,2025-10-01 21:21:41.190648
18,2,"According to the FOD procedure, what should you do when finished with a job?",multiple_choice,"Package or segregate parts to prevent damage, contamination, or loss of traceability",,7,t,2025-10-01 20:05:14.033521
42,5,What is ITAR?,multiple_choice,"A set of U.S. government regulations controlling the export of defense articles, technical data, and defense services","ITAR is administered by the Department of State, Directorate of Defense Trade Controls (DDTC)",1,t,2025-10-01 21:01:16.543553
82,8,What AS9100 clause covers awareness of ethical behavior?,multiple_choice,Clause 7.3,AS9100 Clause 7.3 specifically addresses the requirement for awareness of ethical behavior in aerospace quality systems,1,t,2025-10-01 21:21:41.190648
